solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
193;24,23;23,71;12,57;17,83;23,48;23,58;13,66;17,00
194;24,67;24,39;12,65;18,09;23,51;23,96;13,72;17,19
195;24,76;24,86;12,66;18,18;23,54;24,10;13,76;17,41
196;24,81;26,61;12,66;18,29;23,71;24,57;13,77;17,67
197;24,92;26,64;12,71;18,36;23,78;24,62;13,81;17,88
198;25,04;26,70;12,74;18,79;24,22;24,94;13,82;18,23
199;25,29;26,80;12,79;18,86;24,82;25,02;13,90;18,27
200;25,46;28,39;12,82;18,86;24,86;25,44;13,91;18,43
201;25,63;28,68;12,82;18,92;25,16;25,59;14,02;18,81
202;25,65;28,70;13,04;19,12;25,19;25,66;14,23;18,82
203;25,71;29,03;13,09;19,23;25,24;25,98;14,26;18,99
204;25,71;29,06;13,14;19,39;25,32;26,20;14,26;19,07
205;25,76;29,29;13,31;19,51;25,52;26,32;14,28;19,12
206;26,03;29,38;13,39;19,66;25,88;26,59;14,47;19,42
207;26,23;30,02;13,40;19,70;25,91;26,66;14,54;19,44
208;26,51;30,48;13,44;19,82;26,24;26,74;14,57;19,50
209;26,70;30,55;13,56;19,84;26,78;26,76;14,60;19,60
210;26,87;31,17;13,62;19,92;27,03;26,84;14,64;19,82
211;26,99;31,24;13,64;19,92;27,18;27,02;14,66;19,83
212;26,99;31,36;13,64;20,17;27,29;27,08;14,73;19,95
213;27,00;31,39;13,72;20,37;27,63;27,30;14,84;20,15
214;27,31;31,41;13,86;20,37;27,67;27,39;14,86;20,29
215;27,88;32,09;14,05;20,52;27,71;27,60;15,02;20,32
216;28,67;32,37;14,08;20,62;27,94;27,99;15,06;20,42
217;28,86;32,94;14,14;20,62;28,39;28,08;15,20;20,45
218;28,89;33,13;14,18;20,86;28,40;28,57;15,21;20,52
219;28,94;33,29;14,24;20,93;28,42;29,47;15,33;20,62
220;29,12;33,55;14,41;21,14;29,54;29,54;15,52;20,74
221;29,15;33,88;14,44;21,47;30,17;30,06;15,52;21,05
222;29,45;33,97;14,48;21,64;30,24;30,11;15,60;21,23
223;29,63;34,60;14,48;21,73;30,31;30,18;15,84;21,34
224;29,73;35,31;14,54;21,73;30,46;30,92;15,90;21,36
225;29,77;35,55;14,55;21,77;30,56;31,06;15,93;21,66
226;30,40;36,09;14,55;22,39;30,67;31,33;16,03;21,71
227;30,43;36,96;14,56;22,51;30,99;31,42;16,04;22,03
228;30,55;37,14;14,58;22,64;31,17;32,49;16,26;22,04
229;30,63;37,17;14,60;22,87;31,42;33,26;16,32;22,11
230;31,06;37,58;14,65;22,94;31,90;33,66;16,50;22,20
231;31,09;37,79;14,68;22,94;32,56;34,60;16,62;22,21
232;31,62;38,35;14,69;22,98;32,64;34,62;16,93;22,25
233;32,19;38,42;14,94;23,04;33,01;34,94;17,30;22,43
234;32,41;38,42;14,97;23,28;33,12;35,04;17,31;22,49
235;32,80;38,47;15,09;23,35;33,63;35,68;17,40;22,75
236;32,96;39,45;15,10;23,41;34,48;36,67;17,88;22,85
237;32,98;40,49;15,14;23,44;34,72;37,03;18,10;22,86
238;33,10;40,66;15,16;23,54;35,49;37,23;18,19;22,94
239;33,15;41,10;15,20;23,66;35,67;37,26;18,22;22,94
240;33,26;41,17;15,40;23,71;35,80;38,35;18,48;23,08
241;33,67;41,48;15,45;23,83;36,26;38,53;18,65;23,09
242;34,00;41,50;15,62;23,87;36,70;38,60;18,90;23,11
243;34,11;41,59;15,69;23,93;37,81;38,94;18,91;23,24
244;35,12;42,10;15,72;24,00;37,98;39,13;19,25;23,82
245;35,30;42,38;15,89;24,10;38,21;39,24;19,26;24,02
246;36,15;42,65;15,98;24,21;39,20;39,94;19,77;24,20
247;36,36;42,78;16,00;24,26;39,79;40,99;19,98;24,51
248;36,64;42,98;16,32;24,29;40,04;41,07;20,36;24,52
249;37,03;43,19;16,75;24,50;42,24;41,80;20,64;24,53
250;38,20;43,73;16,98;24,51;42,25;42,80;20,70;24,95
251;39,46;45,02;17,20;24,52;42,37;42,85;20,73;24,99
252;39,57;45,59;17,21;24,87;43,71;42,87;21,00;25,13
253;40,25;45,85;17,61;25,12;43,73;43,42;21,23;25,98
254;40,43;48,19;17,81;25,52;44,36;43,71;21,38;26,53
255;40,60;48,76;17,90;25,54;45,44;44,67;21,47;27,01
256;44,57;48,89;18,39;25,81;47,04;45,29;21,52;27,57
257;44,79;49,12;18,80;26,20;49,46;45,29;21,74;27,63
258;44,97;49,33;18,83;26,46;51,64;46,27;21,76;27,88
259;46,64;49,57;19,32;26,59;51,81;46,84;21,85;27,94
260;48,32;50,66;19,75;26,88;55,87;47,16;21,92;28,36
261;52,61;50,85;20,00;27,00;56,55;47,22;21,95;28,54
262;52,91;51,12;20,14;27,49;59,75;48,38;22,11;28,84
263;55,07;53,47;20,21;27,62;59,82;50,50;22,24;29,10
264;55,72;53,65;20,34;27,65;60,60;50,60;22,24;29,13
265;61,63;53,79;20,46;27,67;66,00;50,70;22,28;30,22
266;68,53;57,41;20,47;27,85;70,36;50,82;22,49;30,22
267;73,56;59,77;20,80;28,02;79,69;51,01;22,54;31,31
268;80,70;61,51;20,95;28,25;81,53;51,61;22,65;33,46
269;90,87;63,84;21,17;29,14;88,01;54,62;23,15;33,88
270;93,52;63,98;21,22;30,06;91,95;54,62;23,24;35,17
271;93,72;65,07;21,40;30,51;106,52;54,65;23,44;35,22
272;109,14;66,44;21,63;30,94;108,24;55,01;23,55;35,25
